"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Australia","AUS","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35669.6388362725","35083.2472250389","34841.2316313515","35930.1230452554","37002.1945455344","38014.3275231729","39006.7876951729","40096.9984509437","41550.5875481578","43164.8148089423","44347.0686839329","44667.924007001","45920.1801572525","46798.0879222472","48256.2493842323","49176.0584581561","49853.7179466217","50799.2628580852","51577.0758053777","51481.2504574095","51811.7824727274","52326.7638748052","53435.1783197966","53890.1065618445","54470.1598676177","54867.7725967716","55507.9782101227","55846.0309860009","56600.4361043661","56981.3950553488","56215.5779648398","57321.5631542565","58997.7033500974","59552.8803336834"
"Austria","AUT","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43728.6228644987","44784.2256776624","45221.3611790403","45086.2604843614","45991.9359686534","47146.7532801914","48126.3916236335","49103.4305835468","50762.8228407713","52570.1002766412","54116.5467110114","54619.7700789064","55158.4913624757","55517.059210491","56589.0362426428","57508.9811273776","59096.0126526036","61128.5522960219","61823.1018076253","59450.0262920516","60380.1419389473","61938.6157298239","62044.2140299598","61524.9617109993","61507.3776789775","61614.5601308616","62242.3368714471","63215.9981633725","64471.6339499081","65312.0239123162","60931.9423870435","63576.2416254062","66294.719126746","65015.1345865741"
"Azerbaijan","AZE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10612.9666645849","10399.3931166437","7928.37229522939","6005.19779709532","4757.5844127957","4147.97469107883","4159.5978922991","4358.60480019062","4749.17444077969","5056.04634019211","5571.30950249852","6075.61452386132","6599.65760594523","7218.4718855466","7817.71610674925","9901.92662966046","13172.5812939603","16280.083507883","17656.9634509611","18901.8857609001","19621.3843451177","19386.7434013253","19545.0718576668","20414.8314836618","20716.1415229269","20694.7787550356","19830.3223176308","19675.9598908264","19798.8335387146","20122.7128524509","19126.094903135","20111.3756952109","21051.2687619289","21262.2979971542"
"Burundi","BDI","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1396.07762688916","1435.81956149966","1412.06054627098","1366.29215293218","1305.4520796515","1132.21878153812","1040.92231476108","1024.44995396879","1052.80703422979","1017.49777823735","988.036863486","983.396846717033","998.561288984855","955.669204427762","965.204118116021","938.381597310084","954.190853889464","951.290082556638","957.222664357035","944.629925612954","947.62141733127","951.188460391309","958.657402907725","970.375391768505","977.765840288134","918.557192941296","897.459046433604","880.993440128706","868.555507579394","855.732720083122","833.920257458019","836.665571337829","829.38715963357","828.861074309521"
"Belgium","BEL","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42487.6885040671","43106.0423647999","43588.6427543658","43001.0680786872","44252.1062281505","45212.6203747385","45720.6522145563","47340.4448305844","48166.2268553894","49758.4487714279","51482.8170083619","51870.2085581008","52519.6205015436","52843.0639657666","54493.8450190235","55453.1854555365","56494.6927645538","58143.4235577668","57943.7146670935","56383.5601260007","57385.0355207589","57737.1597869856","57504.031538111","57408.4752885076","58163.2673533931","58679.6852813724","59080.1475767781","59720.7604427372","60565.9820781725","61711.114815994","58500.6310332726","61873.9649551893","63974.2445884223","64185.8467880223"
"Benin","BEN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2207.06796428357","2230.46054664537","2226.56666006625","2254.24565428893","2215.36616821938","2300.14122107459","2337.63030771279","2399.78593127356","2419.10014338548","2470.68504400549","2536.16885867097","2591.06485220288","2630.18061029627","2639.04370114641","2672.84404357157","2632.47251454328","2652.21841967159","2729.13741390352","2777.61974031765","2758.07243150648","2733.57399641151","2732.01249647957","2779.7264808532","2893.0467015352","2987.38236326153","2952.00218338705","2962.66381572265","3041.77929984989","3155.4510650627","3281.10470051465","3317.8597222557","3464.2886286745","3588.33525858047","3721.2245272339"
"Burkina Faso","BFA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1107.85590454965","1178.07704639063","1152.04476095096","1162.64923453351","1148.60721370395","1183.52861008084","1280.69608533889","1326.94230829963","1385.09310679095","1444.56690170414","1428.57400617096","1477.28491846525","1494.67801269583","1561.83310184915","1581.25620933294","1664.99543180023","1714.76034904509","1731.93046335077","1779.32710911571","1779.32305627973","1873.97146230828","1939.86659989406","2003.6646118745","2057.0639319853","2083.19844698304","2101.70266192027","2162.72578977814","2232.28781490944","2316.39432079045","2391.53626844484","2380.93171826574","2486.43093147762","2466.05331390054","2482.07225343805"
"Bangladesh","BGD","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2069.78230100672","2101.38366035658","2174.38232866943","2234.8101219225","2279.09435302944","2351.70387946903","2413.54298201505","2475.59574602489","2555.06119218282","2624.06553797638","2712.93512215725","2803.55471950946","2866.43454328715","2958.91503115633","3071.83778764611","3231.61370692891","3407.4273502159","3608.91543819399","3787.9382761855","3942.13631207203","4125.46390163202","4352.42643359325","4592.04840919812","4822.72621378266","5068.63965672741","5352.71133299566","5682.53553494306","6005.70718781048","6392.59334024091","6838.32611608243","7015.19792797056","7441.06913961254","7888.16389098304","8242.39798977242"
"Bulgaria","BGR","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15073.0910586235","13937.4740005632","13063.4182298986","12973.1221120009","13253.9070309175","13694.0940372345","14481.4180946531","12513.2598022697","13074.357346297","12043.9576763866","12658.8084350182","13407.0908966079","14505.8310146165","15386.9241457916","16512.847596724","17811.6659416522","19168.3536821198","20594.764541427","22011.0926371723","21411.8594211555","21888.5042843355","22489.7618709853","22789.7901588994","22793.3040152681","23140.8719460122","24080.2549979337","24983.6930269606","25857.9161002154","26709.3225977282","27917.1190369747","27182.0470287617","29536.678063191","31813.9357660524","33403.3762176674"
"Bahrain","BHR","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41856.54450772","47644.0236872821","49511.9477370383","54433.1378404945","52886.5791705058","53537.6827292454","54289.437765662","54512.8551236215","55638.693177109","56522.2261626048","57968.9959395924","57280.6986376651","55096.6571216069","54431.8766751746","54045.0926175729","53478.2662201334","52691.9326137642","52731.7920339006","52765.3897251989","50665.7506530884","50704.8479679819","53132.3284162611","54516.8406594787","55376.4005147894","55065.8189472129","54149.9131524721","54107.0752236423","53859.7749589601","54893.0724411368","56749.9628370612","53814.2452592358","54954.6757895532","57465.1729784449","57213.0913557711"
